дата,номер_документа,контрагент,товар,количество,цена,сумма,дата_оплаты,менеджер
2024-12-03,РН-202412-0438,ТОО Silk Way Trading,Стол офисный,26,31500,819000,2024-12-15,Тимур Сергеев
2024-12-03,РН-202412-0439,ТОО Silk Way Trading,Папки-регистраторы,41,132700,5440700,2024-12-27,Дана Оспанова
2024-12-03,РН-202412-0440,ТОО Silk Way Trading,Шредер бумаги,40,98500,3940000,2024-12-06,Айгуль Нурланова
2024-12-03,РН-202412-0441,ТОО Nur Business Group,Проектор,45,82200,3699000,,Айгуль Нурланова
2024-12-04,РН-202412-0442,ТОО Алматы Строй Сервис,Проектор,37,107700,3984900,,Дана Оспанова
2024-12-05,РН-202412-0443,ИП Тлеуов Б.М.,Ручки шариковые (уп. 50 шт),40,62900,2516000,2024-12-06,Дана Оспанова
2024-12-05,РН-202412-0444,ИП Смагулова А.К.,Проектор,5,67400,337000,2024-12-14,Тимур Сергеев
2024-12-05,РН-202412-0445,ИП Иванова О.В.,Проектор,43,93000,3999000,,Тимур Сергеев
2024-12-06,РН-202412-0446,ТОО Достык Trade,Монитор 24 дюйма,45,22800,1026000,2024-12-13,Тимур Сергеев
2024-12-06,РН-202412-0447,ТОО Алматы Строй Сервис,Папки-регистраторы,29,115000,3335000,2024-12-25,Айгуль Нурланова
2024-12-07,РН-202412-0448,ИП Смагулова А.К.,Калькулятор,25,31600,790000,2025-01-04,Тимур Сергеев
2024-12-07,РН-202412-0449,ТОО Достык Trade,МФУ струйное,29,24300,704700,2024-12-17,Айгуль Нурланова
2024-12-07,РН-202412-0450,ТОО КазОфисТорг,Ручки шариковые (уп. 50 шт),11,103400,1137400,2024-12-16,Айгуль Нурланова
2024-12-09,РН-202412-0451,ИП Смагулова А.К.,Кресло офисное,40,131500,5260000,,Дана Оспанова
2024-12-09,РН-202412-0452,ТОО Батыс Снаб,МФУ струйное,39,118800,4633200,,Айгуль Нурланова
2024-12-09,РН-202412-0453,ИП Смагулова А.К.,Монитор 24 дюйма,13,112300,1459900,2024-12-13,Дана Оспанова
2024-12-09,РН-202412-0454,ТОО Nur Business Group,Стол офисный,19,83000,1577000,,Айгуль Нурланова
2024-12-09,РН-202412-0455,ТОО Астана Комплект,Кресло офисное,36,133700,4813200,,Айгуль Нурланова
2024-12-11,РН-202412-0456,ТОО Алматы Строй Сервис,Папки-регистраторы,6,82200,493200,2024-12-21,Дана Оспанова
2024-12-11,РН-202412-0457,ТОО Алматы Строй Сервис,Монитор 24 дюйма,11,81500,896500,2024-12-30,Айгуль Нурланова
2024-12-13,РН-202412-0458,ТОО Shymkent Opt,Степлер,43,74500,3203500,2024-12-31,Айгуль Нурланова
2024-12-13,РН-202412-0459,ТОО Аспан Технолоджи,Папки-регистраторы,24,53900,1293600,,Тимур Сергеев
2024-12-13,РН-202412-0460,ТОО Shymkent Opt,Степлер,17,64300,1093100,2025-01-11,Тимур Сергеев
2024-12-14,РН-202412-0461,ТОО Батыс Снаб,Принтер лазерный,6,95100,570600,2024-12-15,Дана Оспанова
2024-12-14,РН-202412-0462,ТОО Каспий Логистик,Ноутбук офисный,25,142000,3550000,2025-01-05,Тимур Сергеев
2024-12-14,РН-202412-0463,ИП Тлеуов Б.М.,Шредер бумаги,16,129800,2076800,,Тимур Сергеев
2024-12-16,РН-202412-0464,ТОО Аспан Технолоджи,Картридж для принтера,46,14100,648600,2025-01-10,Дана Оспанова
2024-12-16,РН-202412-0465,ТОО Батыс Снаб,Кресло офисное,10,36500,365000,,Тимур Сергеев
2024-12-16,РН-202412-0466,ИП Ахметов Е.С.,Монитор 24 дюйма,13,38100,495300,2024-12-19,Айгуль Нурланова
2024-12-16,РН-202412-0467,ТОО Достык Trade,Картридж для принтера,41,43800,1795800,2024-12-22,Дана Оспанова
2024-12-17,РН-202412-0468,ТОО КазОфисТорг,Принтер лазерный,25,109200,2730000,2025-01-07,Дана Оспанова
2024-12-17,РН-202412-0469,ТОО Аспан Технолоджи,Картридж для принтера,1,142000,142000,,Тимур Сергеев
2024-12-17,РН-202412-0470,ИП Ахметов Е.С.,МФУ струйное,37,31300,1158100,2025-01-02,Айгуль Нурланова
2024-12-18,РН-202412-0471,ИП Иванова О.В.,Калькулятор,23,112700,2592100,2025-01-13,Тимур Сергеев
2024-12-19,РН-202412-0472,ТОО Shymkent Opt,Ноутбук офисный,12,77200,926400,,Тимур Сергеев
2024-12-19,РН-202412-0473,ИП Тлеуов Б.М.,Стол офисный,45,110300,4963500,2024-12-24,Айгуль Нурланова
2024-12-20,РН-202412-0474,ТОО Достык Trade,Ноутбук офисный,48,129600,6220800,2025-01-05,Тимур Сергеев
2024-12-20,РН-202412-0475,ТОО Nur Business Group,Бумага А4 (пачка),32,30700,982400,,Айгуль Нурланова
2024-12-21,РН-202412-0476,ТОО Silk Way Trading,Степлер,50,89100,4455000,2024-12-30,Тимур Сергеев
2024-12-21,РН-202412-0477,ТОО Достык Trade,Степлер,14,111700,1563800,2025-01-08,Дана Оспанова
2024-12-21,РН-202412-0478,ИП Иванова О.В.,Ноутбук офисный,33,46700,1541100,2025-01-01,Айгуль Нурланова
2024-12-21,РН-202412-0479,ТОО Жетысу Маркет,Картридж для принтера,34,12600,428400,,Айгуль Нурланова
2024-12-23,РН-202412-0480,ИП Иванова О.В.,Монитор 24 дюйма,4,70400,281600,2024-12-28,Айгуль Нурланова
2024-12-24,РН-202412-0481,ТОО Достык Trade,Бумага А4 (пачка),24,126700,3040800,2024-12-29,Дана Оспанова
2024-12-24,РН-202412-0482,ТОО Алматы Строй Сервис,Монитор 24 дюйма,24,133100,3194400,2024-12-27,Дана Оспанова
2024-12-24,РН-202412-0483,ИП Тлеуов Б.М.,Калькулятор,23,95200,2189600,2025-01-22,Айгуль Нурланова
2024-12-24,РН-202412-0484,ТОО КазОфисТорг,Бумага А4 (пачка),2,106300,212600,,Айгуль Нурланова
2024-12-25,РН-202412-0485,ИП Тлеуов Б.М.,Флеш-накопитель 32 ГБ,14,63000,882000,2025-01-21,Дана Оспанова
2024-12-25,РН-202412-0486,ТОО Астана Комплект,Калькулятор,2,7300,14600,2025-01-20,Тимур Сергеев
2024-12-26,РН-202412-0487,ТОО Жетысу Маркет,Ноутбук офисный,15,71200,1068000,2025-01-24,Дана Оспанова
2024-12-27,РН-202412-0488,ТОО Батыс Снаб,Бумага А4 (пачка),28,103700,2903600,2025-01-12,Тимур Сергеев
2024-12-27,РН-202412-0489,ТОО Батыс Снаб,Калькулятор,40,109100,4364000,,Дана Оспанова
2024-12-27,РН-202412-0490,ТОО Каспий Логистик,Стол офисный,24,79100,1898400,2025-01-13,Тимур Сергеев
2024-12-28,РН-202412-0491,ТОО Nur Business Group,Стол офисный,21,77600,1629600,2025-01-02,Тимур Сергеев
2024-12-28,РН-202412-0492,ТОО Nur Business Group,Монитор 24 дюйма,10,140600,1406000,2025-01-03,Айгуль Нурланова
2024-12-28,РН-202412-0493,ТОО Жетысу Маркет,Кресло офисное,26,88800,2308800,,Дана Оспанова
2024-12-31,РН-202412-0494,ТОО Алматы Строй Сервис,Стол офисный,32,82500,2640000,2025-01-30,Тимур Сергеев
2024-12-31,РН-202412-0495,ТОО Алматы Строй Сервис,Кресло офисное,46,54800,2520800,2025-01-24,Тимур Сергеев
2024-12-31,РН-202412-0496,ТОО Батыс Снаб,Флеш-накопитель 32 ГБ,31,99000,3069000,2025-01-28,Дана Оспанова
2024-12-31,РН-202412-0497,ТОО Аспан Технолоджи,Калькулятор,12,82000,984000,2025-01-30,Айгуль Нурланова
2024-12-31,РН-202412-0498,ТОО Жетысу Маркет,Калькулятор,49,53000,2597000,2025-01-14,Дана Оспанова
2024-12-31,РН-202412-0499,ИП Смагулова А.К.,Монитор 24 дюйма,48,85500,4104000,2025-01-15,Тимур Сергеев
2024-12-31,РН-202412-0500,ИП Тлеуов Б.М.,Бумага А4 (пачка),30,35900,1077000,,Тимур Сергеев
